country_or_area,slope,r_squared,year,unit,quantity
Brazil,90.65615384615386,0.8401886947452567,2004,"Metric tons,  thousand",1882
Brazil,90.65615384615386,0.8401886947452567,2005,"Metric tons,  thousand",1942
Brazil,90.65615384615386,0.8401886947452567,2006,"Metric tons,  thousand",1660
Brazil,90.65615384615386,0.8401886947452567,2007,"Metric tons,  thousand",1480
Brazil,90.65615384615386,0.8401886947452567,2008,"Metric tons,  thousand",1925
Brazil,90.65615384615386,0.8401886947452567,2009,"Metric tons,  thousand",1743
Brazil,90.65615384615386,0.8401886947452567,2010,"Metric tons,  thousand",2217
Brazil,90.65615384615386,0.8401886947452567,2011,"Metric tons,  thousand",2138
Brazil,90.65615384615386,0.8401886947452567,2012,"Metric tons,  thousand",2718
Brazil,90.65615384615386,0.8401886947452567,2013,"Metric tons,  thousand",2716
Brazil,90.65615384615386,0.8401886947452567,2014,"Metric tons,  thousand",3373
Australia,21.234615384615388,0.4580695178014977,1990,"Metric tons,  thousand",563
Australia,21.234615384615388,0.4580695178014977,1991,"Metric tons,  thousand",547
Australia,21.234615384615388,0.4580695178014977,1992,"Metric tons,  thousand",512
Australia,21.234615384615388,0.4580695178014977,1993,"Metric tons,  thousand",508
Australia,21.234615384615388,0.4580695178014977,1994,"Metric tons,  thousand",534
Australia,21.234615384615388,0.4580695178014977,1995,"Metric tons,  thousand",597
Australia,21.234615384615388,0.4580695178014977,1996,"Metric tons,  thousand",618
Australia,21.234615384615388,0.4580695178014977,1997,"Metric tons,  thousand",461
Australia,21.234615384615388,0.4580695178014977,1998,"Metric tons,  thousand",492
Australia,21.234615384615388,0.4580695178014977,1999,"Metric tons,  thousand",395
Australia,21.234615384615388,0.4580695178014977,2000,"Metric tons,  thousand",401
Australia,21.234615384615388,0.4580695178014977,2001,"Metric tons,  thousand",452
Australia,21.234615384615388,0.4580695178014977,2002,"Metric tons,  thousand",445
Australia,21.234615384615388,0.4580695178014977,2003,"Metric tons,  thousand",451
Australia,21.234615384615388,0.4580695178014977,2004,"Metric tons,  thousand",573
Australia,21.234615384615388,0.4580695178014977,2005,"Metric tons,  thousand",613
Australia,21.234615384615388,0.4580695178014977,2006,"Metric tons,  thousand",676
Australia,21.234615384615388,0.4580695178014977,2007,"Metric tons,  thousand",643
Australia,21.234615384615388,0.4580695178014977,2008,"Metric tons,  thousand",936
Australia,21.234615384615388,0.4580695178014977,2009,"Metric tons,  thousand",671
Australia,21.234615384615388,0.4580695178014977,2010,"Metric tons,  thousand",1150
Australia,21.234615384615388,0.4580695178014977,2011,"Metric tons,  thousand",1096
Australia,21.234615384615388,0.4580695178014977,2012,"Metric tons,  thousand",653
Australia,21.234615384615388,0.4580695178014977,2013,"Metric tons,  thousand",1209
Australia,21.234615384615388,0.4580695178014977,2014,"Metric tons,  thousand",865
India,78.21930748964982,0.06595914248920635,1990,"Metric tons,  thousand",550
India,78.21930748964982,0.06595914248920635,1991,"Metric tons,  thousand",610
India,78.21930748964982,0.06595914248920635,1992,"Metric tons,  thousand",655
India,78.21930748964982,0.06595914248920635,1993,"Metric tons,  thousand",710
India,78.21930748964982,0.06595914248920635,1994,"Metric tons,  thousand",770
India,78.21930748964982,0.06595914248920635,1995,"Metric tons,  thousand",805
India,78.21930748964982,0.06595914248920635,1996,"Metric tons,  thousand",975
India,78.21930748964982,0.06595914248920635,1997,"Metric tons,  thousand",995
India,78.21930748964982,0.06595914248920635,1998,"Metric tons,  thousand",990
India,78.21930748964982,0.06595914248920635,1999,"Metric tons,  thousand",5288
India,78.21930748964982,0.06595914248920635,2000,"Metric tons,  thousand",5517
India,78.21930748964982,0.06595914248920635,2001,"Metric tons,  thousand",5080
India,78.21930748964982,0.06595914248920635,2002,"Metric tons,  thousand",5106
India,78.21930748964982,0.06595914248920635,2007,"Metric tons,  thousand",313
India,78.21930748964982,0.06595914248920635,2008,"Metric tons,  thousand",336
India,78.21930748964982,0.06595914248920635,2009,"Metric tons,  thousand",303
